datetime,S,NQ,ND,I,Q,R,D
17-Jul-2020,10740882,6718,2198,4982,4982,9994,731
18-Jul-2020,10739981,7165,2213,5055,5038,10297,738
19-Jul-2020,10739075,7606,2228,5129,5100,10603,746
20-Jul-2020,10738164,8041,2245,5203,5167,10914,753
21-Jul-2020,10737248,8471,2262,5279,5239,11228,760
22-Jul-2020,10736325,8894,2281,5356,5315,11547,768
23-Jul-2020,10735398,9313,2300,5434,5396,11871,776
24-Jul-2020,10734465,9725,2320,5514,5480,12199,784
25-Jul-2020,10733526,10133,2341,5594,5569,12533,792
26-Jul-2020,10732581,10534,2363,5675,5660,12873,800
27-Jul-2020,10731631,10931,2386,5758,5756,13218,808
28-Jul-2020,10730675,11322,2409,5842,5854,13569,816
29-Jul-2020,10729712,11709,2433,5927,5956,13926,825
30-Jul-2020,10728744,12090,2459,6013,6060,14289,833
31-Jul-2020,10727769,12466,2485,6100,6167,14658,842
01-Aug-2020,10726788,12837,2511,6189,6276,15035,851
02-Aug-2020,10725801,13203,2539,6279,6388,15417,860
03-Aug-2020,10724808,13564,2567,6370,6502,15807,870
04-Aug-2020,10723807,13921,2596,6462,6618,16203,879
05-Aug-2020,10722801,14273,2626,6556,6736,16607,889
06-Aug-2020,10721787,14620,2657,6651,6856,17018,898
07-Aug-2020,10720767,14962,2688,6747,6978,17436,908
08-Aug-2020,10719740,15301,2720,6845,7102,17862,919
09-Aug-2020,10718706,15634,2752,6944,7227,18295,929
10-Aug-2020,10717664,15963,2786,7044,7354,18736,939
11-Aug-2020,10716616,16288,2820,7146,7483,19184,950
12-Aug-2020,10715560,16609,2855,7249,7613,19640,961
13-Aug-2020,10714497,16925,2890,7354,7744,20104,972
14-Aug-2020,10713427,17237,2926,7460,7877,20577,983
15-Aug-2020,10712349,17545,2963,7567,8011,21057,995
16-Aug-2020,10711263,17849,3000,7676,8147,21545,1006
17-Aug-2020,10710169,18149,3039,7787,8284,22042,1018
18-Aug-2020,10709067,18445,3077,7899,8421,22547,1030
19-Aug-2020,10707958,18737,3117,8013,8561,23060,1042
20-Aug-2020,10706840,19025,3156,8128,8701,23582,1055
21-Aug-2020,10705714,19309,3197,8245,8842,24112,1068
22-Aug-2020,10704580,19589,3238,8363,8985,24651,1080
23-Aug-2020,10703437,19866,3280,8484,9128,25198,1093
24-Aug-2020,10702286,20139,3322,8605,9273,25755,1107
25-Aug-2020,10701126,20409,3365,8729,9419,26320,1120
26-Aug-2020,10699957,20675,3408,8854,9566,26893,1134
27-Aug-2020,10698779,20937,3452,8981,9714,27476,1148
28-Aug-2020,10697592,21196,3497,9109,9863,28068,1162
29-Aug-2020,10696396,21451,3542,9240,10013,28669,1176
30-Aug-2020,10695191,21703,3588,9372,10164,29279,1191
31-Aug-2020,10693976,21952,3634,9506,10316,29898,1205
01-Sep-2020,10692752,22197,3680,9642,10470,30526,1220
02-Sep-2020,10691518,22439,3728,9780,10624,31163,1236
03-Sep-2020,10690274,22678,3775,9919,10779,31810,1251
04-Sep-2020,10689020,22914,3824,10061,10936,32467,1267
05-Sep-2020,10687756,23146,3872,10204,11093,33133,1283
06-Sep-2020,10686482,23376,3921,10349,11252,33808,1299
07-Sep-2020,10685198,23602,3971,10497,11412,34493,1315
08-Sep-2020,10683903,23825,4021,10646,11573,35188,1332
09-Sep-2020,10682597,24045,4072,10797,11735,35892,1348
10-Sep-2020,10681281,24263,4123,10951,11898,36607,1365
11-Sep-2020,10679953,24477,4174,11106,12062,37331,1383
12-Sep-2020,10678615,24689,4226,11264,12228,38065,1400
13-Sep-2020,10677265,24898,4279,11424,12395,38809,1418
14-Sep-2020,10675904,25104,4332,11586,12562,39564,1436
15-Sep-2020,10674532,25307,4385,11750,12732,40328,1454
16-Sep-2020,10673147,25507,4439,11916,12902,41103,1473
17-Sep-2020,10671751,25705,4493,12085,13074,41888,1491
18-Sep-2020,10670343,25900,4547,12256,13247,42684,1510
19-Sep-2020,10668923,26093,4602,12429,13421,43490,1529
20-Sep-2020,10667490,26283,4658,12604,13597,44306,1549
21-Sep-2020,10666045,26470,4713,12782,13774,45134,1569
22-Sep-2020,10664588,26655,4770,12962,13952,45972,1589
23-Sep-2020,10663117,26837,4826,13145,14132,46821,1609
24-Sep-2020,10661634,27017,4883,13330,14314,47680,1629
25-Sep-2020,10660137,27195,4940,13517,14496,48551,1650
26-Sep-2020,10658627,27370,4998,13707,14680,49433,1671
27-Sep-2020,10657104,27542,5056,13900,14866,50326,1692
28-Sep-2020,10655567,27713,5114,14095,15053,51230,1714
